,pricingDate,MSFT,AMZN,NVDA,AAPL,GOOGL,ADBE,JNJ,PFE,MRK,ABT,PG,KO,JPM,GS,CAT,CVX,XOM,BA,TSLA,NEE,NKE,VZ,CRM,UNH,WMT,QCOM,BAC,V,MCD,INTC
1072,2022-08-03,279.174768987702,139.52,188.75840961754,164.921183895168,118.08,424.54,168.576957839251,47.928188799288,84.60510698978,107.547676220379,141.18285081644,61.569710927064,109.343205148842,321.041588035322,178.930132286671,148.544302641504,87.262640497956,166.64,307.396666,83.936393346432,112.53187986752,41.530639015188,189.65,531.1391973172449,127.9749157758,144.459906767088,32.47944877902,206.449911531488,254.983722194858,34.974194875708
1073,2022-08-04,280.34100337509,142.57,191.9754851427,164.603512319616,118.19,430.59,165.873392446331,47.928188799288,83.83263397458,107.655606558708,140.958720117325,61.328903234139,108.140150783592,319.788912030742,179.683542916412,144.509435512596,83.590745166082,166.5,308.633333,85.412027372416,112.72882050432,40.706073051948,191.27,524.360578133875,123.140307846492,146.251612502668,32.2477285737,211.391321060182,253.573037326368,34.495361342066
1074,2022-08-05,279.609636047406,140.8,189.71753772442,164.37486871305,117.47,433.43,165.216812279479,47.361048177716,84.40233282329,107.194449658575,141.02693380836,61.049566310346,111.412458657072,322.486983425222,181.395839802187,146.899759641096,84.79873161991,165.04,288.17,85.412027372416,112.12815156208,41.18248894182,190.17,525.647533370138,124.130765049048,145.476820833228,32.78840905278,213.767950893622,252.201267902526,34.234179413789
1075,2022-08-08,277.049850400512,139.41,177.76840005954,163.89769945401,117.3,434.34,164.33815352678,47.649424764956,85.44517139381,106.9491534351,141.562898523635,60.654641693949,110.05541333307,322.496619394488,181.806791054773,146.679849821274,85.27809132381,165.89,290.423333,84.965453917184,112.256162976,40.806853336344,189.75,527.16044257918,125.140835265516,143.152445824908,32.334623650695,211.242781695592,249.83715464016,34.224506009038
1076,2022-08-09,279.00675216918,137.83,170.70482118908,163.94740458516,116.63,426.57,164.318842345402,47.851288376024,86.43973040088,105.879661900749,141.231574881465,60.731700155685,111.046730130036,324.365997432092,182.022051234699,148.592109124074,86.850391152602,164.85,283.333333,86.324590520064,108.42566759024,40.935119152848,182.24,527.808832240198,126.376455141972,138.019451014868,32.74978901856,208.212578657956,253.008763378972,33.392593200452
1077,2022-08-10,285.786724963656,142.69,180.80563906466,168.24192791652,119.7,438.4,164.791966289163,48.01470177546,86.12108528211,108.195258250353,142.56661426315,61.309638618705,113.943685041558,335.245006733406,186.611006888576,148.984122281148,87.67488984331,169.02,294.356666,87.159488718976,111.40931823776,41.081708657424,188.61,528.260740185756,126.641230829784,142.358284363732,33.860115002385,210.03466153026,254.273515330032,34.214832604287
1078,2022-08-11,283.671689718732,140.64,179.25704680876,167.49635094927,118.84,434.89,161.383542775946,46.419017992732,85.87003155217,108.411118927011,141.55315371063,60.895449386874,115.627961152908,338.877767146688,189.8203404802,152.617414956468,90.21114037614899,167.88,286.63,86.819704568256,112.3546332944,41.026737593208,186.73,523.486234500078,127.862533717908,143.171815616644,34.671135721005,209.394810989136,252.249912208336,34.427647508809
1079,2022-08-12,288.504644086806,143.55,186.92008074602,171.0850614183,121.68,445.67,159.60691408917,48.168502621988,87.88811730438,109.382491971972,142.927172344335,61.35780015729,117.543223702386,340.939864569612,192.599153711972,152.83732477629,90.9952483674,169.99,300.03,87.829348901824,114.29449856688,41.36572582254,189.89,534.13554347801,130.226345772468,146.522789586972,35.04768105465,209.642815076436,255.071281945316,34.930664555861
1080,2022-08-15,290.046445480302,143.18,190.14714718896,172.16863327737,122.08,451.02,160.369705753601,47.8224507173,87.4825689714,109.79458962741,144.76894200228,62.12838477465,117.860830054812,342.89596633061,191.728328438635,149.930690636034,89.368950311472,170.47,309.32,88.3438791872,114.54067436288,41.741361428016,191.06,535.059007540672,130.60061601444,147.336320839884,34.999406011875,214.692178293864,258.242890684128,35.153152865134
1081,2022-08-16,289.295311468086,144.78,188.61853676862,172.00957685769,121.7,447.56,161.798733175573,47.928188799288,87.47291305871,109.922143663617,146.103981383965,62.638897083651,118.986888940686,342.048001035202,193.264503359016,149.548238775474,88.536440592366,172.08,306.563333,87.887597613376,116.25405790304,41.96124568488,189.59,536.512972235076,137.268535851678,145.302492707604,35.37595134552,215.406430065288,259.069843882898,35.008051793869
